里程,测点位置,设计宽度（mm）左,实测宽度（mm）左,差值（mm）左,设计宽度（mm）右,实测宽度（mm）右,差值（mm）右,director_name
63316.4,A1,-3082,-3101,-18.7,3082,3116,34.19,文件名称1
63316.4,A2,-4000,-4003,-2.6,4000,4035,35.03,文件名称2
63316.4,A3,-3082,-3043,38.9,3082,3092,10.5,文件名称3
63318.2,A1,-3082,-3105,-23.2,3082,3120,38.11,文件名称4
63318.2,A2,-4000,-3998,2.3,4000,4039,38.46,文件名称5
63318.2,A3,-3082,-3047,34.7,3082,3066,-15.72,文件名称6
63320,A1,-3082,-3101,-19,3082,3120,38.09,文件名称7
63320,A2,-4000,-3993,6.8,4000,4029,29.21,文件名称8
63320,A3,-3082,-3043,38.7,3082,3076,-6.12,文件名称9
63321.8,A1,-3082,-3096,-14.3,3082,3114,32,文件名称10
63321.8,A2,-4000,-3991,9.2,4000,4035,35.28,文件名称11
63321.8,A3,-3082,,37.4,3082,3065,-16.58,文件名称12
63323.6,A1,-3082,-3096,-14.2,3082,3114,31.8,文件名称13
63323.6,A2,-4000,-3996,3.6,4000,4039,38.82,文件名称14
63323.6,A3,-3082,-3047,34.4,3082,3082,-0.01,文件名称15
63325.4,A1,-3082,-3101,-18.9,3082,3125,43.49,文件名称16
63325.4,A2,-4000,-4000,-0.2,4000,4042,42.04,文件名称17
63325.4,A3,-3082,-3053,28.9,3082,3078,-3.95,文件名称18
63327.2,A1,-3082,-3100,-18.6,3082,3122,39.68,文件名称19
63327.2,A2,-4000,-3995,5,4000,4039,39.42,文件名称20
63327.2,A3,-3082,-3051,30.8,3082,3076,-6.33,文件名称21
